run,50pz05mr,50pz10mr,50pz15mr,100pz05mr,100pz10mr,100pz15mr,150pz05mr,150pz10mr,150pz15mr
0,0.6281,0.6759,0.6817,0.6308,0.6308,0.6368,0.6759,0.6819,0.6817
1,0.6677,0.6805,0.6368,0.62,0.6354,0.6651,0.6759,0.6817,0.6819
2,0.63,0.6366,0.6354,0.6354,0.6354,0.6354,0.6281,0.6354,0.6973
3,0.6248,0.6354,0.6368,0.62,0.6817,0.6368,0.6803,0.6651,0.6801
4,0.6281,0.6651,0.6805,0.62,0.6366,0.6818,0.6651,0.6805,0.671
5,0.6759,0.6281,0.6354,0.62,0.6368,0.6759,0.6336,0.6819,0.6368
6,0.6346,0.6314,0.6354,0.6651,0.6759,0.6354,0.6732,0.6805,0.6354
7,0.62,0.6366,0.6817,0.6024,0.6725,0.6732,0.62,0.6777,0.6805
8,0.6574,0.6308,0.6308,0.6354,0.6354,0.6354,0.6308,0.6366,0.6805
9,0.6308,0.6354,0.6366,0.62,0.6308,0.6819,0.6308,0.6368,0.6368
10,0.6308,0.6759,0.6805,0.6651,0.6368,0.6699,0.6651,0.6765,0.6801
11,0.6651,0.6308,0.6308,0.6308,0.6475,0.6817,0.6308,0.6927,0.6805
12,0.6308,0.6354,0.6805,0.6366,0.6651,0.6817,0.6354,0.6805,0.6817
13,0.6755,0.6354,0.6805,0.62,0.6368,0.6805,0.6314,0.6805,0.6817
14,0.6308,0.62,0.6314,0.62,0.6368,0.6759,0.6651,0.6805,0.6759
15,0.6024,0.6354,0.6987,0.6308,0.6332,0.6805,0.6308,0.6368,0.6819
16,0.6308,0.6368,0.6819,0.6308,0.6368,0.6354,0.6366,0.6817,0.6759
17,0.6366,0.6314,0.6805,0.6308,0.6334,0.6817,0.6124,0.6805,0.6955
18,0.6759,0.6354,0.6354,0.6759,0.6817,0.6817,0.6682,0.6756,0.6354
19,0.6368,0.6308,0.6368,0.62,0.6803,0.6785,0.6224,0.6366,0.6805
