,50pz05mr,50pz10mr,50pz15mr,100pz05mr,100pz10mr,100pz15mr,150pz05mr,150pz10mr,150pz15mr
0,0.6308,0.638,0.6619,0.5679,0.62,0.6361,0.594,0.6669,0.6705
1,0.62,0.6025,0.6308,0.5717,0.6663,0.6477,0.6167,0.637,0.6818
2,0.6054,0.6477,0.6179,0.6308,0.6477,0.664,0.599,0.6611,0.6647
3,0.6616,0.6186,0.6308,0.6308,0.6527,0.6759,0.6553,0.6078,0.6693
4,0.5825,0.6308,0.6365,0.6042,0.6754,0.6816,0.6025,0.6347,0.6818
5,0.617,0.62,0.6308,0.6304,0.6477,0.6446,0.6751,0.6643,0.6727
6,0.6612,0.628,0.6494,0.5796,0.6743,0.6663,0.6642,0.6584,0.6556
7,0.5903,0.6575,0.6308,0.6659,0.6179,0.6631,0.6164,0.6629,0.6814
8,0.6025,0.6308,0.6308,0.62,0.647,0.6714,0.6655,0.6745,0.661
9,0.6025,0.6418,0.6104,0.6284,0.6798,0.6541,0.6223,0.6548,0.6575
10,0.5694,0.6776,0.6366,0.6459,0.6295,0.6705,0.6126,0.6308,0.6817
11,0.6628,0.62,0.6588,0.6238,0.6731,0.6754,0.6036,0.645,0.6393
12,0.6177,0.6308,0.6249,0.6308,0.6716,0.6516,0.6611,0.6352,0.6818
13,0.62,0.62,0.616,0.6099,0.6321,0.6631,0.6631,0.6754,0.6724
14,0.6041,0.6573,0.6651,0.6313,0.6375,0.6816,0.5954,0.6694,0.6765
15,0.6025,0.6353,0.6353,0.6016,0.6335,0.6321,0.6582,0.6477,0.6627
16,0.6021,0.6124,0.6179,0.5581,0.6308,0.6733,0.6195,0.6804,0.6308
17,0.5212,0.6575,0.6314,0.6645,0.6707,0.6621,0.6238,0.6687,0.6818
18,0.6025,0.6308,0.6367,0.646,0.6477,0.6443,0.6638,0.6642,0.6617
19,0.5945,0.6575,0.6365,0.6314,0.6816,0.6753,0.6409,0.6757,0.6657
